Model,AUC,Precision,Recall,F1,Time_sec,Train_size,Status
"Classical MLP (full data, class-weighted)",0.5792,0.812,0.5434,0.6511,2.9,15673,OK
"HybridRealQ v1 (subsample, class-weighted)",0.5649,0.8228,0.6972,0.7548,191.7,2000,OK
"HybridRealQ_v2 (subsample, class-weighted)",0.5923,0.8704,0.3588,0.5081,575.8,2000,OK
"HybridRealQ_v3 (subsample, class-weighted)",0.5718,0.8137,0.8779,0.8446,603.7,2000,OK
"HybridRealQ_v3 (full data, class-weighted)",0.6828,0.8709,0.509,0.6425,1002.8,15673,OK
"HybridRealQ_v4 (full data, output scaling)",0.6863,0.8535,0.6088,0.7107,1225.2,15673,OK
Ensemble (HybridRealQ_v3-full + Classical MLP),0.677,0.8728,0.474,0.6143,1005.8,15673,OK
"XGBoost (full data, balanced)",0.7434,0.875,0.7009,0.7784,0.44,15673,OK
"LightGBM (full data, balanced)",0.7462,0.8715,0.7173,0.7869,0.27,15673,OK
