Model,AUC,Precision,Recall,F1,Time_sec,Status
HybridRealQ (7-qubit),0.7037,0.6299,0.5272,0.574,213.4,OK
Classical MLP,0.7942,0.5821,0.8478,0.6903,0.0,OK
Quantum Only,0.7942,0.5839,0.9837,0.7328,213.8,OK
Hybrid (3-qubit),0.7271,0.5087,0.7935,0.62,137.6,OK
Hybrid (Deep 2-layer),0.7899,0.6526,0.7554,0.7003,317.2,OK
HybridRealQ_v2 (improved),0.8484,0.6576,0.9185,0.7664,580.3,OK
HybridRealQ_v2 (fair),0.842,0.6653,0.8859,0.7599,1034.9,OK
HybridRealQ_v3 (full data),0.9159,0.6782,0.962,0.7955,736.7,OK
Ensemble (v3 + MLP),0.9108,0.6583,0.9946,0.7922,736.7,OK
XGBoost,0.9051,0.6885,0.9728,0.8063,0.2,OK
LightGBM,0.9006,0.7178,0.9402,0.8141,1.8,OK
